LEXP,WTRA,SANI,CO2,CMORT,EMPL,INCM,HDI,GDP,INTU,POP,country,POP
57.8,60.4,38.1,0.299,76.1,48.7,1780,0.479,630,7,32.8,Afghanistan,32800000.00
77.4,91.4,97.7,1.96,14.4,44.9,10700,0.762,4410,60.1,2.92,Albania,2920000.00
77.1,93.3,87.3,3.72,25.6,37.1,13500,0.743,4680,29.5,39.1,Algeria,39100000.00
63.3,40.8,38.2,1.29,91.2,72.2,6260,0.531,3750,10.2,26.9,Angola,26900000.00
76.4,99.6,94.8,4.75,12.1,55.5,18800,0.826,10300,64.7,43,Argentina,43000000.00
75.4,98.5,91.5,1.9,14.7,49.9,7970,0.741,3830,54.6,2.91,Armenia,2910000.00
82.6,100,100,15.4,4,60.8,43400,0.937,54500,84,23.5,Australia,23500000.00
81.3,100,100,6.8,3.7,56.8,44100,0.892,47900,81,8.63,Austria,8630000.00
71.5,83.9,87.9,3.94,33.2,61.9,16700,0.758,6120,75,9.5,Azerbaijan,9500000.00
73.8,97.8,92,6.32,11.5,65.3,22300,0.79,27200,76.9,0.382,Bahamas,382000.00
76.7,100,100,23.4,7.8,70.7,44400,0.823,22400,90.5,1.34,Bahrain,1340000.00
72,97.2,45.5,0.459,38.6,54.1,2970,0.575,922,13.9,159,Bangladesh,159000000.00
76.7,98.1,96.5,4.49,13,57.3,15300,0.794,15900,75.2,0.283,Barbados,283000.00
73,98,94.3,6.69,4.2,63.8,17900,0.798,6660,59,9.48,Belarus,9480000.00
80.9,100,99.5,8.32,4.1,49,41400,0.895,44700,85,11.2,Belgium,11200000.00
71.8,96.5,86.8,1.41,16.3,59.4,8050,0.706,4410,38.7,0.352,Belize,352000.00
63.4,66.6,13.6,0.614,103,68.9,2000,0.481,834,6,10.3,Benin,10300000.00
73.5,97.6,62.3,1.29,35.1,62.7,7370,0.604,2500,30.3,0.776,Bhutan,776000.00
72.7,92,51.7,1.93,39.6,69.9,6330,0.671,2320,34.6,10.6,Bolivia,10600000.00
77.2,97.7,94.8,6.23,6.1,34,10500,0.747,4990,49.9,3.57,Bosnia and Herzegovina,3570000.00
63.7,79.1,59.9,3.24,44.6,59,15900,0.698,7570,36.7,2.17,Botswana,2170000.00
75,97.2,85.3,2.59,16.4,59.7,15400,0.754,11900,54.6,204,Brazil,204000000.00
76.9,99.5,96.3,22.1,10.1,63.2,76100,0.864,33300,68.8,0.412,Brunei,412000.00
75,99.3,86,5.87,8.8,48,16300,0.792,7300,55.5,7.22,Bulgaria,7220000.00
59.8,53.3,21.7,0.162,92.8,62.4,1540,0.399,640,9.4,17.6,Burkina Faso,17600000.00
59.6,55.8,50.5,0.0445,77.9,76.9,803,0.406,243,1.38,9.89,Burundi,9890000.00
68,73.5,46.3,0.438,33.7,84.5,3120,0.558,973,14,15.3,Cambodia,15300000.00
59.2,64.7,38.9,0.315,87.5,72.9,2900,0.514,1430,16.2,22.2,Cameroon,22200000.00
81.8,99,98.5,15.1,5.2,61.2,42900,0.919,50200,87.1,35.6,Canada,35600000.00
73.3,85.8,64.8,0.933,23,53.6,5930,0.646,3370,40.3,0.526,Cape Verde,526000.00
48.4,54.1,25,0.0666,134,67.2,602,0.347,303,3.6,4.52,Central African Republic,4520000.00
58.7,42.3,9.54,0.0538,135,67.4,2080,0.394,967,2.9,13.6,Chad,13600000.00
80,100,99.8,4.69,8.5,58.1,22200,0.845,14700,61.1,17.6,Chile,17600000.00
75.9,94.9,74.1,7.4,11.5,66.8,12800,0.734,6110,47.9,1390,China,1390000000.00
77.9,96.2,83.9,1.76,16.3,64.4,12700,0.724,7290,52.6,47.8,Colombia,47800000.00
67,83.7,34.1,0.203,78.3,40.8,1430,0.498,780,6.98,0.759,Comoros,759000.00
60.1,41.3,19.9,0.0634,101,69.8,726,0.425,398,3,73.7,"Congo, Dem. Rep.",73700000.00
62.4,67.5,14.9,0.635,56.5,62.9,5540,0.59,2920,7.11,4.87,"Congo, Rep.",4870000.00
80.8,99.6,97,1.63,9.4,57.2,14400,0.775,9070,53,4.76,Costa Rica,4760000.00
58.6,73,29.4,0.49,98.3,56.8,3060,0.466,1380,19.3,22.5,Cote d'Ivoire,22500000.00
77.3,99.6,97.4,3.96,4.9,43.4,20100,0.823,13700,68.6,4.26,Croatia,4260000.00
78.8,95,90.7,3.05,5.7,53.4,20000,0.773,6180,29.1,11.4,Cuba,11400000.00
80.5,100,99.4,5.26,2.9,53.1,29700,0.854,27000,69.3,1.15,Cyprus,1150000.00
78.6,99.9,99.1,9.1,3.1,55.8,29100,0.875,20300,74.2,10.6,Czech Republic,10600000.00
80.7,100,99.6,5.91,4.2,58,45100,0.923,59400,96,5.66,Denmark,5660000.00
65.6,76.9,51.3,0.792,68.2,55.5,3000,0.47,1595,10.7,0.912,Djibouti,912000.00
75.3,94.2,82.5,2.07,32.2,62,12600,0.718,6200,49.6,10.4,Dominican Republic,10400000.00
77.8,92,85.2,2.76,22.2,61.9,10900,0.739,5430,45.6,15.9,Ecuador,15900000.00
71.8,98.3,93.1,2.2,24.7,42.3,9880,0.688,2610,33.9,91.8,Egypt,91800000.00
74.8,92.5,90.5,1,16.1,59.2,7710,0.678,3270,24.8,6.28,El Salvador,6280000.00
64.7,49.5,74.5,4.73,97.1,55.8,31200,0.582,16000,18.9,1.13,Equatorial Guinea,1130000.00
63,19,11.2,0.147,47.6,76,1200,0.418,550,0.99,4.75,Eritrea,4750000.00
77.1,99.6,99.6,14.8,3.3,56.7,27000,0.863,17500,84.2,1.32,Estonia,1320000.00
64.6,37.6,6.8,0.119,64.4,78.8,1430,0.441,453,7.7,97.4,Ethiopia,97400000.00
65.5,93.8,94.6,1.32,23,55.1,8350,0.734,4080,37.4,0.886,Fiji,886000.00
81.2,100,99.4,8.66,2.5,53.8,39000,0.893,45200,86.5,5.46,Finland,5460000.00
82.2,100,98.7,4.72,4,50,37500,0.894,41400,83.8,64.2,France,64200000.00
65.3,87.1,40.8,2.77,53,40.4,16700,0.694,9510,38.1,1.88,Gabon,1880000.00
66.7,79.7,42.5,0.268,69.9,53.8,1560,0.45,530,15.6,1.92,Gambia,1920000.00
73.5,92.9,85.6,2.25,12.3,58.8,8750,0.768,3850,44,3.99,Georgia,3990000.00
80.8,100,99.2,8.83,3.9,57.4,43400,0.924,45000,86.2,81.5,Germany,81500000.00
64.9,77,14.1,0.537,63.4,75.1,3870,0.575,1660,25.5,27,Ghana,27000000.00
80.9,100,98.6,5.98,3.9,38.9,24000,0.865,22600,63.2,11.3,Greece,11300000.00
72.3,93.1,66.8,1.15,30.5,60.1,7150,0.637,3010,23.4,15.9,Guatemala,15900000.00
59.2,66.5,21.1,0.207,95.2,61.5,1210,0.414,714,6.4,11.8,Guinea,11800000.00
57.6,68.1,20.8,0.157,94.9,67,1390,0.421,546,3.32,1.73,Guinea-Bissau,1730000.00
66.7,94.7,85.6,2.63,34.4,50.6,6890,0.638,3600,32,0.763,Guyana,763000.00
63.3,63.7,30.4,0.271,71,57.9,1650,0.49,729,11.4,10.6,Haiti,10600000.00
